Cmoy;Cmin;Cmax;p;l_axe;l_cs;l_cr;e;l_enc;l_a;h;beta_enc;beta_a;l_bec;beta_bec;n_cs;nepp;Is
8.485742599170337;3.616288086080521;11.64044205391669;4.0;0.017059;0.07181;0.085263;0.006021;0.361172;0.0356;0.29056;0.473786;0.372957;0.027159;0.284387;110.0;2.0;0.147518
5.047997368157183;3.241648608152663;7.001770351870156;9.0;0.056171;0.05398;0.054116;0.005365;0.118182;0.00842;0.595125;0.901812;0.052644;0.00868;0.917942;96.0;1.0;0.476681
19.937880596682355;-105.4000857163544;145.1327108411924;9.0;0.039655;0.057303;0.080819;0.003945;0.164173;0.027258;1.250604;0.465034;0.362993;0.015567;0.381493;5.0;1.0;1.450695
13.71127157658158;-1234.153895327332;1263.03337511333;6.0;0.014657;0.013676;0.090999;0.000995;0.101892;0.043947;0.666445;0.828719;0.116224;0.022105;0.090952;19.0;1.0;2.019294
11.202676807776015;10.16338003502815;11.92886938952693;2.0;0.033762;0.099891;0.016616;0.00946;0.369658;0.011204;0.133596;0.451751;0.371453;0.005922;0.591985;2.0;1.0;303.565742
6.132936139435361;5.854898018633068;6.310585806867154;4.0;0.023748;0.014462;0.042793;0.006577;0.133273;0.007199;0.098228;0.669291;0.165245;0.021979;0.823945;16.0;2.0;13.52861
6.1312942140618105;5.738512833377043;6.556033731214913;7.0;0.048663;0.056066;0.004296;0.009333;0.342418;0.028748;0.358417;0.505955;0.561552;0.006621;0.775401;12.0;1.0;1.932859
15.602237849523306;10.43044707160022;20.82898366654154;10.0;0.038601;0.009992;0.029506;0.006663;0.043908;0.031572;1.197475;0.304875;0.124893;0.009523;0.099727;24.0;1.0;1.424797
3.385969547040742;-0.9332124622809297;7.765262100089027;2.0;0.015224;0.066144;0.084765;0.009044;0.361603;0.009676;0.425773;0.536959;0.892153;0.027256;0.35205;10.0;2.0;0.977559
1.018585073598655;-144.0766492453757;141.0453407278801;4.0;0.012163;0.015702;0.030138;0.007689;0.215926;0.047926;1.395548;0.638819;0.513636;0.025018;0.072087;7.0;1.0;0.231234
6.075148241787678;-9.547485655821239;21.32561504987134;4.0;0.039137;0.050215;0.025009;0.00106;0.209903;0.010762;1.312824;0.34511;0.269437;0.007812;0.538927;1.0;3.0;3.780651
6.109962399418677;5.977813092760039;6.214571479308549;5.0;0.065948;0.028597;0.006143;0.00955;0.160259;0.014283;0.9332;0.759644;0.053451;0.024575;0.867104;86.0;2.0;0.574157
9.432118597088907;8.88222075057994;9.744419908735592;3.0;0.028197;0.02215;0.033594;0.00669;0.281036;0.028798;0.050521;0.452917;0.388872;0.009023;0.676164;1.0;1.0;436.32958
3.384323945731907;-771.0302260654398;776.5895881181889;2.0;0.031026;0.02571;0.098635;0.003216;0.265561;0.025434;0.372545;0.578907;0.238014;0.001797;0.103772;15.0;1.0;1.892467
16.12588161475344;15.55681422113432;16.72526373182261;3.0;0.014096;0.093631;0.070019;0.008989;0.168828;0.034556;0.160266;0.266621;0.75757;0.010278;0.366378;30.0;3.0;1.220109
19.365256286640086;13.41609133342536;26.37860240727713;7.0;0.034269;0.096405;0.009659;0.004741;0.192634;0.034806;1.338822;0.374239;0.109799;0.018439;0.592084;27.0;1.0;2.431806
10.194270063561014;8.79664257622023;11.30725477968477;3.0;0.019002;0.029831;0.036362;0.005484;0.099166;0.011472;0.707215;0.250797;0.101101;0.016726;0.890493;55.0;2.0;1.733039
6.157120447057821;-8.48354808660532;20.49316052121916;5.0;0.058306;0.010888;0.009894;0.002164;0.136374;0.032896;1.300395;0.536115;0.355832;0.015139;0.619443;1.0;2.0;2.767678
3.6726951956379423;-150.6087252849482;158.7114476159142;2.0;0.054037;0.046369;0.077025;0.001678;0.194847;0.023679;0.636487;0.531994;0.402591;0.029122;0.632843;28.0;2.0;0.158247
1.5175939599129222;1.352182345748937;1.735431780944191;4.0;0.014653;0.007335;0.013236;0.004623;0.20524;0.008925;1.378073;0.205272;0.904859;0.00125;0.521212;3.0;1.0;1.110118
12.7261502592804;9.150080283382614;15.87793037086223;3.0;0.065252;0.094803;0.005435;0.003671;0.364546;0.022677;0.846645;0.078145;0.117922;0.01859;0.629139;8.0;2.0;6.641618
