Cmoy;Cmin;Cmax;p;l_axe;l_cs;l_cr;e;l_enc;l_a;h;beta_enc;beta_a;l_bec;beta_bec;n_cs;nepp;Is
0.302663;0.302179;0.303148;3.0;0.040906;0.023156;0.024751;0.002471;0.331744;0.023672;0.399885;0.084092;0.373995;0.001169;0.84608;3.0;1.0;0.524271
3.888981;3.887496;3.890466;10.0;0.061742;0.039183;0.091237;0.007771;0.264373;0.015046;0.205609;0.081654;0.775172;0.006254;0.644107;24.0;1.0;0.224271
0.154043;0.15397;0.154116;9.0;0.02218;0.071937;0.076789;0.002853;0.027687;0.042291;0.101003;0.722084;0.156052;0.003328;0.083733;2.0;1.0;0.808557
0.302816;0.30257;0.303062;7.0;0.060893;0.095698;0.062793;0.008655;0.051316;0.049094;0.049225;0.109373;0.103271;0.001945;0.073561;28.0;2.0;0.22514
0.031032;0.031027;0.031036;9.0;0.010154;0.096232;0.047061;0.009657;0.041638;0.014882;1.410256;0.497816;0.087189;0.004801;0.086428;1.0;1.0;0.21383
4.416334;4.414464;4.418205;10.0;0.069785;0.090748;0.026194;0.001594;0.276765;0.007037;0.603702;0.22225;0.792401;0.007476;0.123934;1.0;1.0;2.38626
0.565358;0.564832;0.565884;7.0;0.020052;0.013672;0.012266;0.001768;0.396051;0.010372;0.603343;0.386379;0.051491;0.009905;0.18758;37.0;2.0;0.196878
0.827892;0.827429;0.828354;5.0;0.035332;0.035;0.004269;0.009752;0.20959;0.043274;1.321768;0.640698;0.096164;0.008752;0.427114;6.0;2.0;0.445934
16.881781;16.742871;17.02069;3.0;0.064168;0.065161;0.024975;0.003991;0.086473;0.013247;1.365402;0.667138;0.074241;0.004848;0.309219;1.0;1.0;119.400828
0.706468;0.694413;0.718522;2.0;0.023122;0.084876;0.08212;0.009859;0.148963;0.035988;1.298905;0.459174;0.069937;0.007363;0.698955;6.0;3.0;0.35939
0.62864;0.62668;0.630601;4.0;0.05016;0.042991;0.02091;0.001579;0.237078;0.016;0.025874;0.053953;0.400969;0.004222;0.105023;90.0;2.0;0.199692
1.556954;1.556029;1.55788;8.0;0.01873;0.067743;0.034239;0.008588;0.087866;0.006217;0.409427;0.543315;0.363269;0.007456;0.236761;24.0;1.0;0.578243
0.23077;0.230611;0.230929;9.0;0.019818;0.089468;0.016305;0.004155;0.080951;0.039187;1.462069;0.410082;0.221426;0.000438;0.384846;1.0;1.0;0.304317
10.957935;10.934324;10.981547;5.0;0.048558;0.020154;0.012219;0.007614;0.038562;0.035004;0.221506;0.265334;0.805086;0.001952;0.500609;2.0;3.0;7.920045
4.683513;4.599194;4.767832;2.0;0.033374;0.095216;0.024377;0.00078;0.181323;0.009037;0.655394;0.107348;0.132685;0.005562;0.546581;12.0;1.0;6.008958
9.731758;9.658589;9.804928;2.0;0.020342;0.055565;0.07729;0.008016;0.25313;0.033241;0.028675;0.434021;0.435009;0.00872;0.844455;21.0;1.0;33.873276
10.999626;10.985356;11.013897;2.0;0.053595;0.079133;0.054015;0.003326;0.129736;0.008925;0.041821;0.393874;0.400047;0.006162;0.837002;4.0;2.0;85.867316
15.78562;15.768927;15.802312;5.0;0.013119;0.096867;0.059899;0.001215;0.348514;0.010873;1.045458;0.186538;0.421078;0.002656;0.674389;6.0;3.0;0.978419
0.142227;0.142147;0.142307;10.0;0.066285;0.064202;0.002619;0.005289;0.077085;0.012354;1.490953;0.390178;0.132327;0.005927;0.396977;1.0;1.0;0.291881
14.859982;14.84923;14.870733;6.0;0.063402;0.086198;0.090562;0.004577;0.212888;0.025006;1.358083;0.470525;0.199925;0.005686;0.111641;5.0;1.0;2.116335
8.851905;8.844223;8.859586;5.0;0.049817;0.063911;0.026243;0.005345;0.117634;0.036414;0.762847;0.070726;0.238124;0.001813;0.689902;7.0;1.0;2.874026
11.822472;11.750928;11.894016;3.0;0.054778;0.096838;0.083155;0.009759;0.257387;0.012054;0.192469;0.581155;0.337447;0.00821;0.675104;14.0;1.0;9.075907
4.823364;4.817969;4.828758;7.0;0.029219;0.010189;0.087954;0.004222;0.187648;0.017564;0.824776;0.378819;0.23298;0.009577;0.925324;14.0;2.0;0.218454
5.33594;5.33305;5.338829;10.0;0.024876;0.044308;0.093392;0.004173;0.336972;0.016933;1.217464;0.456995;0.128659;0.008935;0.346767;1.0;1.0;5.904786
4.439672;4.436114;4.443231;8.0;0.055181;0.087387;0.086709;0.00188;0.306536;0.007408;0.654325;0.711302;0.158853;0.007716;0.884737;15.0;1.0;0.494403
2.382445;2.382019;2.382872;6.0;0.011018;0.022877;0.05125;0.004942;0.100732;0.038566;0.228746;0.138501;0.580524;0.000949;0.507186;34.0;2.0;0.123989
3.828696;3.81101;3.846382;4.0;0.045208;0.015342;0.065658;0.006242;0.093378;0.046645;0.525107;0.878937;0.055044;0.002327;0.060388;1.0;1.0;46.13149
14.561262;14.55146;14.571064;9.0;0.04646;0.035026;0.092452;0.003167;0.216817;0.041483;0.03301;0.494831;0.143261;0.00386;0.378988;61.0;1.0;6.242876
1.709576;1.679975;1.739177;2.0;0.016211;0.014519;0.061064;0.000859;0.132605;0.020811;0.664982;0.806397;0.074076;0.00802;0.054326;17.0;2.0;0.964363
0.988096;0.987191;0.989001;8.0;0.05407;0.087868;0.018941;0.008408;0.175744;0.011091;1.422193;0.869333;0.079264;0.004298;0.651272;9.0;2.0;0.298561
9.414117;9.408722;9.419512;9.0;0.057934;0.037336;0.034799;0.005735;0.133319;0.040436;0.359228;0.451163;0.176637;0.008676;0.300523;2.0;1.0;15.897303
7.001366;6.991205;7.011527;6.0;0.018946;0.069804;0.038296;0.001213;0.391384;0.042934;1.318361;0.636677;0.282282;0.008044;0.602892;30.0;1.0;0.208615
5.056586;5.051875;5.061297;7.0;0.026858;0.083134;0.051638;0.005526;0.318342;0.01257;0.161673;0.312835;0.46613;0.008233;0.595236;52.0;1.0;0.608548
1.132172;1.126952;1.137393;2.0;0.060684;0.03367;0.067112;0.006047;0.372322;0.014966;0.43243;0.288645;0.210384;0.006994;0.17914;5.0;3.0;0.702242
2.394242;2.386472;2.402011;4.0;0.026147;0.06041;0.073579;0.009529;0.278759;0.032733;1.359195;0.856327;0.086146;0.003164;0.344521;7.0;1.0;1.394305
13.853988;13.833858;13.874118;5.0;0.056609;0.055018;0.025923;0.00733;0.217511;0.010439;0.244517;0.380507;0.14641;0.000941;0.148467;5.0;2.0;26.180939
15.443613;15.433274;15.453953;9.0;0.0387;0.092832;0.086667;0.008436;0.137034;0.016135;0.074088;0.255693;0.743198;0.005483;0.392679;1.0;1.0;84.859946
1.051459;1.042831;1.060086;3.0;0.064095;0.023353;0.024309;0.003188;0.207708;0.033932;0.077496;0.663795;0.069373;0.006409;0.071681;114.0;1.0;0.935589
2.379279;2.374275;2.384284;5.0;0.028626;0.088164;0.021978;0.004326;0.217039;0.046813;0.777788;0.456989;0.115774;0.008328;0.429849;4.0;3.0;1.080765
0.536239;0.526254;0.546223;2.0;0.016633;0.046275;0.039425;0.007473;0.124645;0.017968;1.196048;0.755218;0.111327;0.001414;0.625827;18.0;3.0;0.131764
0.017943;0.017922;0.017964;5.0;0.04607;0.071498;0.068623;0.005098;0.072904;0.037904;0.155488;0.282342;0.102357;0.002991;0.792863;2.0;1.0;0.154742
0.126041;0.125969;0.126114;9.0;0.041502;0.061157;0.011996;0.00761;0.253948;0.032186;0.158176;0.314795;0.153415;0.006469;0.364122;3.0;1.0;0.855138
2.040811;2.039797;2.041824;8.0;0.040946;0.044072;0.034858;0.007131;0.376426;0.041461;0.906488;0.404666;0.092778;0.006502;0.535375;12.0;2.0;0.314525
1.978213;1.977442;1.978983;10.0;0.060175;0.012699;0.047257;0.007712;0.307353;0.007725;0.136656;0.706713;0.240915;0.005397;0.725242;15.0;1.0;1.421392
10.030537;10.029777;10.031297;10.0;0.011836;0.005916;0.071889;0.006031;0.338622;0.015253;1.27849;0.454167;0.082068;0.003277;0.368427;25.0;1.0;1.216627
1.933688;1.933135;1.934242;9.0;0.016915;0.031159;0.053913;0.004775;0.109507;0.026309;0.671379;0.538786;0.197313;0.004852;0.642282;1.0;1.0;4.552239
0.611218;0.609645;0.612792;5.0;0.045237;0.050585;0.007345;0.005006;0.071748;0.031233;0.31976;0.47338;0.060675;0.001576;0.893542;1.0;3.0;6.364891
4.742502;4.735679;4.749324;4.0;0.046897;0.094204;0.017173;0.008291;0.06225;0.013524;0.652403;0.562102;0.124823;0.008737;0.483055;1.0;3.0;19.551576
13.28596;13.250057;13.321864;4.0;0.046534;0.056875;0.011115;0.002825;0.337185;0.043561;1.034435;0.641129;0.091651;0.007451;0.681247;2.0;2.0;18.717012
13.680972;13.678372;13.683572;7.0;0.017977;0.091407;0.039562;0.004758;0.265148;0.010803;1.35127;0.474997;0.353441;0.006008;0.073153;14.0;2.0;0.6713
18.188621;18.181751;18.19549;9.0;0.01366;0.06884;0.019397;0.008753;0.314536;0.007033;1.208672;0.22738;0.096437;0.002369;0.601815;2.0;1.0;204.900236
14.904449;14.884202;14.924696;6.0;0.04655;0.034959;0.061342;0.005717;0.197155;0.012632;1.437427;0.41173;0.545852;0.00154;0.306344;1.0;1.0;7.537942
0.156294;0.156236;0.156351;6.0;0.061229;0.07001;0.044254;0.005533;0.325246;0.031035;0.098748;0.359123;0.522629;0.005803;0.851557;7.0;1.0;0.132298
9.201303;9.186515;9.216092;6.0;0.045693;0.016641;0.005363;0.008235;0.183936;0.036669;1.477963;0.394018;0.101962;0.007456;0.582298;1.0;2.0;18.759491
2.376158;2.37319;2.379127;4.0;0.04247;0.005769;0.066703;0.009522;0.269123;0.008257;1.291781;0.841142;0.123262;0.005094;0.101032;56.0;2.0;0.106601
0.454396;0.451807;0.456985;3.0;0.039032;0.059126;0.027248;0.002463;0.328029;0.048686;1.464473;0.136107;0.423993;0.008869;0.751357;2.0;2.0;0.119702
0.325282;0.325045;0.325518;8.0;0.05451;0.04063;0.022266;0.00178;0.386189;0.01528;0.175611;0.349559;0.548903;0.002267;0.922417;5.0;1.0;0.205437
0.567534;0.557003;0.578065;2.0;0.047015;0.065688;0.095703;0.00462;0.053647;0.035628;0.105748;0.590777;0.118318;0.007516;0.181867;1.0;1.0;24.906296
6.911366;6.893692;6.92904;4.0;0.062499;0.083596;0.022514;0.009566;0.287722;0.022983;0.118082;0.344006;0.812799;0.008259;0.694826;53.0;3.0;0.386849
1.103954;1.087618;1.120289;2.0;0.041656;0.071134;0.058082;0.004461;0.138265;0.019499;0.633582;0.122056;0.313312;0.00828;0.512671;6.0;2.0;0.429112
